118 	11 	4205 - ROBOCUBS 	11 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
119 	11 	3636 - Generals 	11 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
120 	11 	1899 - Saints Robotics 	11 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
121 	11 	4057 - Klamath Basin Robotics - STEAM... 	11 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
122 	11 	2929 - JAGBOTS 	11 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
123 	11 	3268 - Vahallabots 	11 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
124 	10 	4692 - Metal Mallards 	10 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
125 	10 	4180 - Iron Riders 	10 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
126 	10 	4461 - Ramen 	10 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
127 	10 	4104 - Blackhawks 	10 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
128 	10 	6350 - J.E.D.I. 	5 [PNW District Auburn Event] 	Not Played 	--- 	--- 	5
129 	10 	1294 - Top Gun 	10 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
130 	9 	5941 - SPQL 	9 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
131 	9 	3693 - GearHead Pirates 	9 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
132 	9 	1432 - Metal Beavers 	9 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
133 	9 	4579 - RoboEagles 	9 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
134 	8 	3876 - Mabton LugNutz 	8 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
135 	8 	2926 - Robo Sparks 	8 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
136 	8 	5827 - Code Purple 	8 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
137 	8 	4726 - Robo Dynasty 	8 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
138 	7 	3712 - RoboCats 	7 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
139 	7 	4683 - Full-metal Robotics 	7 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
140 	7 	2903 - NeoBots 	7 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
